id,Nombre,coord_lat,coord_lon,Nivel,Cruce,Calles,Portal
1,Barrera 1,37.67650,-1.70076,1,No,,
2,Barrera 2,37.67870,-1.69742,1,No,,
3,Barrera 3,37.67420,-1.69958,1,No,,
4,Barrera 4,37.66750,-1.70341,1,No,,
5,Barrera 5,37.67410,-1.70005,1,No,,
6,Barrera 6,37.67770,-1.69927,1,No,,
7,Barrera 7,37.67510,-1.69881,1,No,,
8,Barrera 8,37.67440,-1.69781,1,No,,
9,Barrera 9,37.67550,-1.70012,1,No,,
10,Barrera 10,37.67760,-1.69736,1,No,,
11,Barrera 11,37.67490,-1.69855,1,No,,
12,Barrera 12,37.67580,-1.69991,1,No,,
13,Barrera 13,37.67640,-1.69650,1,No,,
14,Barrera 14,37.67390,-1.69893,1,No,,
15,Barrera 15,37.67830,-1.69728,1,No,,
16,Barrera 16,37.67500,-1.69927,1,No,,
17,Barrera 17,37.67490,-1.69924,1,No,,
18,Barrera 18,37.68220,-1.69084,1,No,,
19,Barrera 19,37.67750,-1.69923,1,No,,
20,Barrera 20,37.67750,-1.69875,1,No,,
21,Barrera 21,37.67160,-1.69767,1,No,,
22,Barrera 22,37.67490,-1.69878,1,No,,
23,Barrera 23,37.67020,-1.68288,1,No,,
24,Barrera 24,37.67640,-1.69774,1,No,,
25,Barrera 25,37.67760,-1.69806,1,No,,
26,Barrera 26,37.67700,-1.69915,1,No,,
27,Barrera 27,37.67500,-1.69916,1,No,,
28,Barrera 28,37.67320,-1.70161,1,No,,
29,Barrera 29,37.68230,-1.69518,2,No,,
30,Barrera 30,37.67640,-1.70052,2,No,,
31,Barrera 31,37.67800,-1.69787,2,No,,
32,Barrera 32,37.67670,-1.69885,2,No,,
33,Barrera 33,37.67890,-1.69810,2,No,,
34,Barrera 34,37.67720,-1.69719,2,No,,
35,Barrera 35,37.67590,-1.70015,2,No,,
36,Barrera 36,37.67610,-1.70005,2,No,,
37,Barrera 37,37.68280,-1.68959,2,No,,
38,Barrera 38,37.68230,-1.69194,2,No,,
39,Barrera 39,37.67310,-1.69761,2,No,,
40,Barrera 40,37.68210,-1.69549,2,No,,
41,Barrera 41,37.68230,-1.69100,2,No,,
42,Barrera 42,37.66690,-1.70353,2,No,,
43,Barrera 43,37.67840,-1.69885,2,No,,
44,Barrera 44,37.66650,-1.70426,2,No,,
45,Barrera 45,37.67690,-1.69795,2,No,,
46,Barrera 46,37.67320,-1.69936,2,No,,
47,Barrera 47,37.68120,-1.69583,2,No,,
48,Barrera 48,37.67200,-1.70134,2,No,,
49,Barrera 49,37.68280,-1.69341,3,No,,
50,Barrera 50,37.67840,-1.69846,3,No,,
51,Barrera 51,37.67320,-1.69774,3,No,,
52,Barrera 52,37.68200,-1.69035,3,No,,
53,Barrera 53,37.66880,-1.70161,3,No,,
54,Barrera 54,37.68210,-1.68999,3,No,,
55,Barrera 55,37.67300,-1.69807,3,No,,
56,Barrera 56,37.67630,-1.70006,3,No,,
57,Barrera 57,37.68230,-1.69246,3,No,,
58,Barrera 58,37.67430,-1.69770,3,No,,
59,Barrera 59,37.67480,-1.70067,3,No,,
60,Barrera 60,37.68090,-1.69454,3,No,,
61,Barrera 61,37.68210,-1.69610,3,No,,
62,Barrera 62,37.68160,-1.69080,3,No,,
63,Barrera 63,37.66720,-1.70342,3,No,,
64,Barrera 64,37.68190,-1.69288,3,No,,
65,Barrera 65,37.66810,-1.70115,3,No,,
66,Barrera 66,37.67690,-1.69866,3,No,,
67,Barrera 67,37.68080,-1.69437,3,No,,
68,Barrera 68,37.68130,-1.69609,3,No,,
69,Barrera 69,37.66660,-1.69999,3,No,,
70,Barrera 70,37.68180,-1.69764,3,No,,
71,Barrera 71,37.67660,-1.69503,3,No,,
72,Barrera 72,37.66710,-1.70305,3,No,,
73,Barrera 73,37.67810,-1.69466,3,No,,
74,Barrera 74,37.67610,-1.69474,3,No,,
75,Barrera 75,37.68210,-1.68964,3,No,,
76,Barrera 76,37.67360,-1.70019,3,No,,
77,Barrera 77,37.67380,-1.69749,3,No,,
78,Barrera 78,37.67540,-1.69496,3,No,,
79,Barrera 79,37.66680,-1.70353,3,No,,
80,Barrera 80,37.67520,-1.69829,3,No,,
81,Barrera 81,37.67820,-1.69448,3,No,,
82,Barrera 82,37.68170,-1.69110,3,No,,
83,Barrera 83,37.68150,-1.69250,4,No,,
84,Barrera 84,37.67760,-1.69574,4,No,,
85,Barrera 85,37.67540,-1.69999,4,No,,
86,Barrera 86,37.68160,-1.69426,4,No,,
87,Barrera 87,37.67410,-1.69921,4,No,,
88,Barrera 88,37.67490,-1.69529,4,No,,
89,Barrera 89,37.68170,-1.69182,4,No,,
90,Barrera 90,37.67310,-1.69975,4,No,,
91,Barrera 91,37.67710,-1.69985,4,No,,
92,Barrera 92,37.68160,-1.69536,4,No,,
93,Barrera 93,37.67190,-1.69773,4,No,,
94,Barrera 94,37.66590,-1.70485,4,No,,
95,Barrera 95,37.67150,-1.69998,4,No,,
96,Barrera 96,37.66810,-1.70181,4,No,,
97,Barrera 97,37.66790,-1.68663,4,No,,
98,Barrera 98,37.67720,-1.69708,4,No,,
99,Barrera 99,37.68450,-1.69929,4,No,,
100,Barrera 100,37.67680,-1.70060,4,No,,
101,Barrera 101,37.68050,-1.68978,4,No,,
102,Barrera 102,37.66920,-1.70054,4,No,,
103,Barrera 103,37.66890,-1.70280,4,No,,
104,Barrera 104,37.67630,-1.69761,4,No,,
105,Barrera 105,37.67890,-1.69777,4,No,,
106,Barrera 106,37.67210,-1.69866,4,No,,
